id,competition_id,year,category,prize,entry_name,brand_id,product_id,brewery_id,status,confidence,source_id,evidence,competition_name,brand_name,brewery_name,is_gold_award
10956,3,2020,,銀賞 (Silver Award),ゆず兵衛,,693,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ゆず兵衛,（有）舩坂酒造店,0
10957,2,2023,,SAKE Trophy (世界1位),ゆり,,4966,2242,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ゆり,株式会社福光屋,1
10958,3,2021,,グランプリ (Grand Prix),よかいち,,705,625,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),よかいち,宝酒造株式会社,0
10959,4,2022,,第2位 (Gold 2nd),ゑなのほまれ,,728,,verified,0.98,,,SAKE COMPETITION,ゑなのほまれ,岩村醸造（株）,1
10960,3,2024,,グランプリ (Grand Prix),アイスブレーカー,,731,1121,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),アイスブレーカー,木下酒造有限会社,0
10961,4,2023,,第2位 (Gold 2nd),アチャラパ天国,,733,,verified,0.98,,,SAKE COMPETITION,アチャラパ天国,磐乃井酒造（株）,1
10962,2,2021,,Gold Medal (金賞),カマヤ,,119,677,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,カマヤ,株式会社日本の古酒蔵,1
10963,4,2023,,第1位 (Gold 1st),カルイワノイ,,733,,verified,0.98,,,SAKE COMPETITION,カルイワノイ,磐乃井酒造（株）,1
10964,3,2020,,グランプリ (Grand Prix),クラビトノウタ,,18605,5784,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),クラビトノウタ,株式会社中本酒造店,0
10965,5,2024,,金賞 (Gold Award),コウノトリ育むお酒,,11814,627,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),コウノトリ育むお酒,櫻正宗株式会社,1
10966,2,2025,,Silver Medal (銀賞),コバトンビール,,4183,2492,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,コバトンビール,麻原酒造株式会社,0
10967,3,2024,,銀賞 (Silver Award),コーヒースペシャリテ,,771,989,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),コーヒースペシャリテ,株式会社 天盃,0
10968,2,2024,,Gold Medal (金賞),サワードッグ,,779,550,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,サワードッグ,福乃友酒造株式会社,1
10969,5,2023,,金賞 (Gold Award),スキー正宗,,785,217,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),スキー正宗,株式会社武蔵野酒造,1
10970,2,2024,,SAKE Trophy (世界1位),スパークリング日本酒 喜多屋スパークリング AWA SAK,,789,945,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,スパークリング日本酒 喜多屋スパークリング AWA SAK,株式会社 喜多屋,1
10971,4,2022,,第2位 (Gold 2nd),スパークリング清酒,,790,,verified,0.98,,,SAKE COMPETITION,スパークリング清酒,世嬉の一酒造（株）,1
10972,4,2022,,金賞 (Gold),タクシードライバー,,794,,verified,0.98,,,SAKE COMPETITION,タクシードライバー,喜久盛酒造（株）,1
10973,4,2024,,第1位 (Gold 1st),ツメタク,,802,678,verified,0.98,,,SAKE COMPETITION,ツメタク,小西酒造株式会社,1
10974,4,2023,,第1位 (Gold 1st),ナリマサ,,119,677,verified,0.98,,,SAKE COMPETITION,ナリマサ,株式会社日本の古酒蔵,1
10975,4,2024,,第3位 (Gold 3rd),ニセコ蝦夷富士,,7601,211,verified,0.98,,,SAKE COMPETITION,ニセコ蝦夷富士,八海醸造株式会社,1
10976,3,2023,,グランプリ (Grand Prix),ニッポンプレミアム,,836,4281,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ニッポンプレミアム,合同酒精株式会社,0
10977,2,2025,,SAKE Trophy (世界1位),ヌップシル,,813,36,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ヌップシル,喜久水酒造合資会社,1
10978,2,2022,,Gold Medal (金賞),ビキニ娘,,844,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ビキニ娘,三浦酒造（株）,1
10979,2,2024,,Silver Medal (銀賞),ピオン,,823,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ピオン,白牡丹酒造（株）,0
10980,5,2023,,最高金賞 (Grand Gold),フモトヰ 純大吟雪女神,,829,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),フモトヰ 純大吟雪女神,麓井酒造（株）,1
10981,3,2021,,銀賞 (Silver Award),マイィ グラン・クリュ,,836,4281,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),マイィ グラン・クリュ,合同酒精株式会社,0
10982,5,2022,,金賞 (Gold Award),ミツボシ,,840,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),ミツボシ,（株）岡本亀太郎本店,1
10983,3,2024,,グランプリ (Grand Prix),ミライザケ,,841,4617,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ミライザケ,株式会社金井酒造店,0
10984,2,2021,,Commended (推奨),モヒカン娘,,844,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,モヒカン娘,三浦酒造（株）,0
10985,4,2025,,銀賞 (Silver),ヤマサン正宗,,5923,7296,verified,0.98,,,SAKE COMPETITION,ヤマサン正宗,株式会社酒持田本店,0
10986,2,2022,,Silver Medal (銀賞),ヨサムスメ,,850,1125,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ヨサムスメ,与謝娘酒造合名会社,0
10987,2,2024,,Gold Medal (金賞),ラッキーキャッツ,,855,299,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ラッキーキャッツ,株式会社越後鶴亀,1
10988,3,2024,,金賞 (Gold Award),ロ万,,10103,107,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ロ万,花泉酒造 株式会社,1
10989,2,2023,,Gold Medal (金賞),一,,83,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,一,賀茂泉酒造（株）,1
10990,5,2023,,金賞 (Gold Award),一念不動,,8447,1409,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),一念不動,関谷醸造株式会社,1
10991,5,2021,,金賞 (Gold Award),一望千里,,6549,7204,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),一望千里,鳴滝酒造株式会社,1
10992,4,2022,,第1位 (Gold 1st),一期一会,,891,3193,verified,0.98,,,SAKE COMPETITION,一期一会,赤磐酒造,1
10993,5,2021,,最高金賞 (Grand Gold),一生幸福 大吟醸,,901,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),一生幸福 大吟醸,（株）鈴木酒造店 長井蔵,1
10994,3,2021,,金賞 (Gold Award),一番流 特別本醸造,,121,992,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),一番流 特別本醸造,株式会社 いそのさわ,1
10995,4,2024,,第1位 (Gold 1st),七人の侍,,916,,verified,0.98,,,SAKE COMPETITION,七人の侍,田端酒造（株）,1
